"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NIFTYBEES","EQ","12-Nov-2023","214.24","216.99","216.99","213.27","215.28","215.16","215.21","25,10,748","54,03,37,669.70","36,271","16,59,016","66.08"
"NIFTYBEES","EQ","13-Nov-2023","215.16","215.90","215.99","214.30","214.49","214.55","214.58","23,54,220","50,51,57,869.26","27,760","16,98,406","72.14"
"NIFTYBEES","EQ","15-Nov-2023","214.55","215.30","217.23","213.70","217.02","216.97","216.68","43,68,209","94,65,08,434.68","28,373","35,34,185","80.91"
"NIFTYBEES","EQ","16-Nov-2023","216.97","217.99","219.25","216.60","218.39","218.16","218.17","26,94,681","58,78,88,947.41","49,746","17,67,180","65.58"
"NIFTYBEES","EQ","17-Nov-2023","218.16","224.00","224.00","216.00","218.00","218.02","218.16","14,71,094","32,09,30,295.67","19,916","10,09,564","68.63"
"NIFTYBEES","EQ","20-Nov-2023","218.02","218.99","218.99","217.07","217.35","217.35","217.49","19,71,539","42,87,84,685.18","28,962","12,17,738","61.77"
"NIFTYBEES","EQ","21-Nov-2023","217.35","219.25","219.25","214.00","218.30","218.39","218.33","21,21,413","46,31,76,973.68","19,464","17,73,649","83.61"
"NIFTYBEES","EQ","22-Nov-2023","218.39","219.30","219.30","216.00","218.60","218.53","218.27","15,31,757","33,43,30,183.50","18,243","10,90,633","71.20"
"NIFTYBEES","EQ","23-Nov-2023","218.53","219.00","219.20","216.01","218.60","218.56","218.77","27,11,176","59,31,25,150.86","14,827","19,97,602","73.68"
"NIFTYBEES","EQ","24-Nov-2023","218.56","225.10","225.10","218.19","218.65","218.48","218.51","22,28,129","48,68,62,097.97","16,808","16,85,587","75.65"
"NIFTYBEES","EQ","28-Nov-2023","218.48","225.05","225.05","211.95","219.79","219.56","218.95","33,74,192","73,87,93,121.15","29,086","24,81,533","73.54"
"NIFTYBEES","EQ","29-Nov-2023","219.56","221.99","221.99","219.31","221.85","221.66","221.10","46,92,734","1,03,75,67,513.06","32,660","39,46,783","84.10"
"NIFTYBEES","EQ","30-Nov-2023","221.66","228.30","228.30","220.38","222.23","222.13","221.62","45,65,515","1,01,17,89,126.84","23,895","34,80,547","76.24"
"NIFTYBEES","EQ","01-Dec-2023","222.13","223.99","223.99","221.00","223.70","223.75","223.52","37,56,906","83,97,49,642.63","36,335","27,59,439","73.45"
"NIFTYBEES","EQ","04-Dec-2023","223.75","230.45","230.45","225.50","228.00","228.18","227.32","54,41,571","1,23,69,55,319.00","58,661","36,60,383","67.27"
"NIFTYBEES","EQ","05-Dec-2023","228.18","228.45","230.28","228.39","230.11","230.06","229.46","25,77,043","59,13,36,228.93","38,993","17,90,020","69.46"
"NIFTYBEES","EQ","06-Dec-2023","230.06","231.99","231.99","229.80","231.00","230.94","230.83","31,16,228","71,93,14,854.56","31,305","19,43,910","62.38"
"NIFTYBEES","EQ","07-Dec-2023","230.94","231.99","231.99","228.15","230.90","230.83","230.82","28,82,798","66,54,16,430.45","28,245","20,59,209","71.43"
"NIFTYBEES","EQ","08-Dec-2023","230.83","231.99","231.99","228.00","231.45","231.36","231.23","19,18,130","44,35,34,430.36","24,941","11,81,948","61.62"
"NIFTYBEES","EQ","11-Dec-2023","231.36","229.01","232.10","229.01","231.65","231.79","231.73","22,02,370","51,03,55,802.17","34,913","14,92,076","67.75"
"NIFTYBEES","EQ","12-Dec-2023","231.79","232.99","232.99","230.50","231.06","230.96","231.41","22,37,630","51,78,18,265.94","26,530","15,14,636","67.69"
"NIFTYBEES","EQ","13-Dec-2023","230.96","231.99","231.99","229.63","231.31","231.15","230.43","27,58,600","63,56,69,735.84","28,947","18,45,614","66.90"
"NIFTYBEES","EQ","14-Dec-2023","231.15","232.00","234.50","231.51","234.04","233.99","233.60","29,43,517","68,76,10,939.24","24,820","22,18,606","75.37"
"NIFTYBEES","EQ","15-Dec-2023","233.99","236.25","237.00","234.01","236.33","236.62","235.38","34,18,211","80,45,66,414.86","27,799","21,46,538","62.80"
"NIFTYBEES","EQ","18-Dec-2023","236.62","236.98","237.00","233.65","236.56","236.57","236.53","20,68,813","48,93,35,690.16","27,618","10,86,966","52.54"
"NIFTYBEES","EQ","19-Dec-2023","236.57","237.99","237.99","235.33","236.79","236.70","236.42","29,00,959","68,58,46,910.06","26,319","15,93,217","54.92"
"NIFTYBEES","EQ","20-Dec-2023","236.70","237.99","238.88","233.00","233.34","233.25","235.16","46,92,122","1,10,34,07,718.46","42,177","25,10,268","53.50"
"NIFTYBEES","EQ","21-Dec-2023","233.25","226.25","238.00","226.25","234.98","234.60","233.48","41,51,474","96,92,78,382.10","33,912","24,17,863","58.24"
"NIFTYBEES","EQ","22-Dec-2023","234.60","235.99","236.35","232.01","235.65","235.50","235.61","29,20,568","68,81,07,360.09","27,167","18,63,145","63.79"
"NIFTYBEES","EQ","26-Dec-2023","235.50","236.99","237.30","234.88","237.11","236.93","236.57","17,74,284","41,97,38,474.36","33,871","11,20,413","63.15"
"NIFTYBEES","EQ","27-Dec-2023","236.93","239.70","239.70","236.18","239.34","238.91","238.07","43,85,669","1,04,40,87,128.55","34,812","31,71,136","72.31"
"NIFTYBEES","EQ","28-Dec-2023","238.91","240.00","240.50","238.88","240.25","240.16","239.92","24,95,578","59,87,34,835.75","26,842","17,06,896","68.40"
"NIFTYBEES","EQ","29-Dec-2023","240.16","247.35","247.35","238.00","240.30","239.65","239.88","43,42,820","1,04,17,39,872.78","24,850","28,75,147","66.20"
"NIFTYBEES","EQ","01-Jan-2024","239.65","240.99","241.14","238.01","240.02","240.35","239.93","33,01,679","79,21,74,114.85","75,475","18,16,801","55.03"
"NIFTYBEES","EQ","02-Jan-2024","240.35","241.00","241.00","238.00","239.23","239.21","238.99","27,24,450","65,11,06,628.58","52,536","16,22,009","59.54"
"NIFTYBEES","EQ","03-Jan-2024","239.21","240.00","240.00","237.50","237.80","237.74","238.15","22,53,252","53,66,23,215.85","43,853","16,43,418","72.94"
"NIFTYBEES","EQ","04-Jan-2024","237.74","237.70","239.59","237.19","239.50","239.30","239.03","25,92,068","61,95,84,101.96","28,596","18,29,195","70.57"
"NIFTYBEES","EQ","05-Jan-2024","239.30","239.80","240.00","238.01","239.88","239.74","239.46","30,17,800","72,26,31,742.13","33,645","20,31,516","67.32"
"NIFTYBEES","EQ","08-Jan-2024","239.74","242.00","242.00","237.50","237.80","237.68","238.57","31,09,332","74,17,78,956.02","53,391","20,78,180","66.84"
"NIFTYBEES","EQ","09-Jan-2024","237.68","239.99","239.99","237.50","237.79","237.78","238.98","22,63,399","54,09,08,844.40","27,060","15,37,850","67.94"
"NIFTYBEES","EQ","10-Jan-2024","237.78","238.99","238.99","236.76","238.88","238.76","237.69","25,57,090","60,78,02,361.33","33,129","13,33,281","52.14"
"NIFTYBEES","EQ","11-Jan-2024","238.76","239.70","239.70","238.01","239.09","238.87","239.03","22,28,747","53,27,40,026.61","22,862","16,23,516","72.84"
"NIFTYBEES","EQ","12-Jan-2024","238.87","239.01","242.35","239.01","242.35","241.73","241.08","38,29,943","92,33,11,711.41","31,109","25,48,516","66.54"
"NIFTYBEES","EQ","15-Jan-2024","241.73","241.73","244.30","241.73","244.30","244.07","243.38","30,98,957","75,42,09,558.62","39,045","20,62,453","66.55"
"NIFTYBEES","EQ","16-Jan-2024","244.07","244.60","244.99","242.41","243.01","243.24","243.33","30,55,350","74,34,67,839.79","28,376","18,54,771","60.71"
"NIFTYBEES","EQ","17-Jan-2024","243.24","240.99","243.00","238.10","238.50","238.38","239.74","61,28,145","1,46,91,33,799.44","72,217","42,92,613","70.05"
"NIFTYBEES","EQ","18-Jan-2024","238.38","237.99","238.21","233.30","237.68","237.51","237.08","61,70,369","1,46,28,84,482.69","51,698","43,31,835","70.20"
"NIFTYBEES","EQ","19-Jan-2024","237.51","239.99","239.99","237.75","239.32","239.15","238.91","27,14,133","64,84,24,731.22","21,149","16,23,831","59.83"
"NIFTYBEES","EQ","20-Jan-2024","239.15","246.30","246.30","238.50","238.98","238.73","239.27","15,62,643","37,38,87,260.36","18,212","10,72,799","68.65"
"NIFTYBEES","EQ","23-Jan-2024","238.73","241.90","241.90","234.50","235.39","234.87","236.86","53,82,816","1,27,49,68,134.96","72,230","38,68,963","71.88"
"NIFTYBEES","EQ","24-Jan-2024","234.87","235.68","237.59","233.50","237.58","237.29","235.91","29,14,009","68,74,30,171.79","32,030","13,38,654","45.94"
"NIFTYBEES","EQ","25-Jan-2024","237.29","238.00","238.00","235.10","236.70","236.15","235.72","23,28,302","54,88,29,025.05","29,685","14,20,417","61.01"
"NIFTYBEES","EQ","29-Jan-2024","236.15","238.00","240.40","236.15","240.24","240.05","239.13","26,71,344","63,87,92,915.38","36,443","14,15,855","53.00"
"NIFTYBEES","EQ","30-Jan-2024","240.05","241.99","241.99","237.95","238.19","238.13","238.96","34,29,480","81,95,16,492.91","30,794","24,97,609","72.83"
"NIFTYBEES","EQ","31-Jan-2024","238.13","238.78","240.48","237.50","240.24","240.26","239.39","18,70,884","44,78,70,127.88","22,593","10,44,202","55.81"
"NIFTYBEES","EQ","01-Feb-2024","240.26","241.99","241.99","239.48","239.96","240.03","240.30","32,03,160","76,97,10,550.90","36,721","21,16,075","66.06"
"NIFTYBEES","EQ","02-Feb-2024","240.03","243.40","244.28","240.01","241.60","241.30","242.28","49,54,136","1,20,02,87,746.75","39,272","25,98,071","52.44"
"NIFTYBEES","EQ","05-Feb-2024","241.30","248.55","248.55","239.90","240.15","240.24","241.37","28,62,183","69,08,43,927.51","46,080","15,17,894","53.03"
"NIFTYBEES","EQ","06-Feb-2024","240.24","247.45","247.45","237.65","242.16","242.01","241.44","16,90,100","40,80,58,541.30","24,207","8,67,855","51.35"
"NIFTYBEES","EQ","07-Feb-2024","242.01","249.25","249.25","234.75","242.40","242.35","242.58","22,35,426","54,22,72,836.40","27,108","13,48,398","60.32"
"NIFTYBEES","EQ","08-Feb-2024","242.35","242.35","243.38","239.90","240.40","240.28","241.05","37,57,539","90,57,43,401.67","36,997","26,23,834","69.83"
"NIFTYBEES","EQ","09-Feb-2024","240.28","240.90","241.02","239.00","240.80","240.78","240.31","17,52,604","42,11,61,283.09","24,778","9,82,996","56.09"
"NIFTYBEES","EQ","12-Feb-2024","240.78","241.00","242.50","238.97","239.19","239.32","239.84","34,49,448","82,73,18,765.53","47,909","23,62,926","68.50"
"NIFTYBEES","EQ","13-Feb-2024","239.32","246.50","246.50","238.70","240.40","240.59","239.98","16,15,065","38,75,82,673.40","24,456","7,49,125","46.38"
"NIFTYBEES","EQ","14-Feb-2024","240.59","239.90","241.99","237.55","241.70","241.55","239.84","33,43,750","80,19,54,858.59","29,667","17,33,358","51.84"
"NIFTYBEES","EQ","15-Feb-2024","241.55","242.99","243.00","241.20","242.63","242.72","242.20","18,20,990","44,10,34,684.84","22,718","10,56,272","58.01"
"NIFTYBEES","EQ","16-Feb-2024","242.72","244.00","244.23","242.58","244.19","243.99","243.77","41,34,646","1,00,78,92,155.09","26,522","28,30,395","68.46"
"NIFTYBEES","EQ","19-Feb-2024","243.99","244.50","245.75","243.58","245.20","245.04","244.94","25,11,055","61,50,62,799.36","30,618","17,96,903","71.56"
"NIFTYBEES","EQ","20-Feb-2024","245.04","246.99","246.99","243.01","245.42","245.37","245.03","21,09,871","51,69,88,897.34","25,143","12,90,956","61.19"
"NIFTYBEES","EQ","21-Feb-2024","245.37","246.00","246.29","243.50","243.74","243.87","245.09","33,26,839","81,53,86,871.85","30,408","25,59,883","76.95"
"NIFTYBEES","EQ","22-Feb-2024","243.87","244.50","246.21","242.45","246.03","245.79","243.85","29,73,123","72,49,86,694.43","24,489","17,47,967","58.79"
"NIFTYBEES","EQ","23-Feb-2024","245.79","246.89","246.89","245.16","245.38","245.69","246.12","24,14,813","59,43,33,556.71","21,873","16,46,139","68.17"
"NIFTYBEES","EQ","26-Feb-2024","245.69","245.50","246.50","244.02","245.24","244.87","244.92","19,31,771","47,31,30,119.57","32,612","13,54,998","70.14"
"NIFTYBEES","EQ","27-Feb-2024","244.87","245.00","245.71","244.00","245.20","245.50","245.11","24,12,089","59,12,18,940.01","21,988","17,06,051","70.73"
"NIFTYBEES","EQ","28-Feb-2024","245.50","242.30","246.88","242.30","243.25","243.07","244.04","25,53,115","62,30,61,082.28","35,033","18,00,622","70.53"
"NIFTYBEES","EQ","29-Feb-2024","243.07","244.99","244.99","241.01","243.90","243.25","242.97","32,10,232","78,00,03,533.62","27,444","20,27,252","63.15"
"NIFTYBEES","EQ","01-Mar-2024","243.25","244.58","246.99","243.05","246.71","246.85","245.98","21,74,184","53,48,01,029.51","34,733","13,36,223","61.46"
"NIFTYBEES","EQ","02-Mar-2024","246.85","247.40","248.29","246.56","247.40","247.31","247.33","3,53,231","8,73,63,758.39","6,087","2,57,729","72.96"
"NIFTYBEES","EQ","04-Mar-2024","247.31","248.99","249.98","247.08","247.89","247.83","247.86","32,78,496","81,26,20,589.64","47,519","26,73,329","81.54"
"NIFTYBEES","EQ","05-Mar-2024","247.83","248.87","248.87","246.71","247.25","247.34","247.24","19,09,620","47,21,37,612.64","31,615","13,83,167","72.43"
"NIFTYBEES","EQ","06-Mar-2024","247.34","248.99","248.99","246.10","248.57","248.62","247.15","24,52,874","60,62,32,482.43","32,022","12,18,950","49.69"
"NIFTYBEES","EQ","07-Mar-2024","248.62","248.70","249.00","248.13","248.55","248.67","248.67","24,81,075","61,69,80,160.05","25,244","17,98,176","72.48"
"NIFTYBEES","EQ","11-Mar-2024","248.67","248.67","249.80","247.02","247.30","247.45","248.17","26,65,347","66,14,69,983.99","48,193","20,18,375","75.73"
